Sim Time,X Pos,Y Pos,Z Pos,Phi,Theta,Psi,Height Setpoint,Phi Setpoint,Theta Setpoint,Heading Setpoint
0.01,0,0,4.24997e-07,0,0,0,4,0,0,25
0.02,0,0,1.24799e-06,0,0,0,4,0,0,25
0.03,0,0,2.64801e-06,0,0,0,4,0,0,25
0.04,0,0,4.76664e-06,0,0,0,4,0,0,25
0.05,0,0,7.74649e-06,0,0,0,4,0,0,25
0.06,0,0,1.17301e-05,0,0,0,4,0,0,25
0.07,0,0,1.686e-05,0,0,0,4,0,0,25
0.08,0,0,2.32785e-05,0,0,0,4,0,0,25
0.09,0,0,3.11279e-05,0,0,0,4,0,0,25
0.1,0,0,4.01755e-05,0,0,0,4,0,0,25
0.11,0,0,5.05404e-05,0,0,0,4,0,0,25
0.12,0,0,6.22082e-05,0,0,0,4,0,0,25
0.13,0,0,7.51766e-05,0,0,0,4,0,0,25
0.14,0,0,8.94454e-05,0,0,0,4,0,0,25
0.15,0,0,0.000105015,0,0,0,4,0,0,25
0.16,0,0,0.000121884,0,0,0,4,0,0,25
0.17,0,0,0.000140055,0,0,0,4,0,0,25
0.18,0,0,0.000159525,0,0,0,4,0,0,25
0.19,0,0,0.000180297,0,0,0,4,0,0,25
0.2,0,0,0.000202368,0,0,0,4,0,0,25
0.21,0,0,0.000225741,0,0,0,4,0,0,25
0.22,0,0,0.000250413,0,0,0,4,0,0,25
0.23,0,0,0.000276386,0,0,0,4,0,0,25
0.24,0,0,0.00030366,0,0,0,4,0,0,25
0.25,0,0,0.000332234,0,0,0,4,0,0,25
0.26,0,0,0.000362109,0,0,0,4,0,0,25
0.27,0,0,0.000393284,0,0,0,4,0,0,25
0.28,0,0,0.000425759,0,0,0,4,0,0,25
0.29,0,0,0.000459535,0,0,0,4,0,0,25
0.3,0,0,0.000494612,0,0,0,4,0,0,25
0.31,0,0,0.000530989,0,0,0,4,0,0,25
0.32,0,0,0.000568666,0,0,0,4,0,0,25
0.33,0,0,0.000607644,0,0,0,4,0,0,25
0.34,0,0,0.000647923,0,0,0,4,0,0,25
0.35,0,0,0.000689502,0,0,0,4,0,0,25
0.36,0,0,0.000732381,0,0,0,4,0,0,25
0.37,0,0,0.000776561,0,0,0,4,0,0,25
0.38,0,0,0.000822041,0,0,0,4,0,0,25
0.39,0,0,0.000868822,0,0,0,4,0,0,25
0.4,0,0,0.000916904,0,0,0,4,0,0,25
0.41,0,0,0.000966286,0,0,0,4,0,0,25
0.42,0,0,0.00101697,0,0,0,4,0,0,25
0.43,0,0,0.00106895,0,0,0,4,0,0,25
0.44,0,0,0.00112223,0,0,0,4,0,0,25
0.45,0,0,0.00117682,0,0,0,4,0,0,25
0.46,0,0,0.0012327,0,0,0,4,0,0,25
0.47,0,0,0.00128989,0,0,0,4,0,0,25
0.48,0,0,0.00134837,0,0,0,4,0,0,25
0.49,0,0,0.00140816,0,0,0,4,0,0,25
0.5,0,0,0.00146924,0,0,0,4,0,0,25
0.51,0,0,0.00153163,0,0,0,4,0,0,25
0.52,0,0,0.00159532,0,0,0,4,0,0,25
0.53,0,0,0.00166031,0,0,0,4,0,0,25
